947612067,50,0,981.72,NaN,2,-1,1,4,-3,0,0,-1,3,-2,1,0,2,4,-5,undefined
312978767,50,0,1169.4,NaN,2,3,-2,-1,1,-2,-1,2,3,1,3,3,-1,0,2,undefined
501528059,50,0,1260.22,NaN,2,1,1,2,5,1,-1,1,2,5,1,-1,1,2,5,undefined
858711106,50,0,1357.4,NaN,-2,1,1,2,-3,-3,-1,2,3,-3,1,2,3,3,-1,undefined
598625629,49,1,2935.1020408163267,13263,-2,-3,-2,-2,0,2,undefined,2,0,0,-2,-3,-3,-2,0,undefined
308316919,50,0,2460.12,NaN,-3,-3,0,2,0,-3,-4,0,2,-1,-1,-3,0,2,-1,undefined
104105029,46,4,1782.5869565217392,1622.75,0,3,-3,-2,-1,-2,-1,-3,1,-2,-4,-3,3,5,-2,undefined
422661646,50,0,1156.46,NaN,-1,-2,1,3,-5,-5,-5,3,5,-5,-1,-1,0,1,-5,undefined
123578991,50,0,1967.78,NaN,2,-2,2,3,2,3,3,0,0,3,-2,-3,3,4,-2,undefined
239357928,50,0,2131.18,NaN,3,0,0,0,2,-2,-2,1,1,-1,3,2,-2,-2,2,undefined
558428404,43,7,1509.6744186046512,2777,-2,-1,-3,-3,-3,-1,-3,-2,-3,-3,-2,-1,-3,-1,-2,-2
556757494,50,0,1804.2,NaN,3,3,-2,-3,3,1,1,1,1,3,-2,-2,2,2,3,undefined
241527016,50,0,1689.26,NaN,-1,-2,3,5,1,-2,-1,1,3,0,-1,-1,2,4,1,undefined
377802298,47,3,2091.3617021276596,3221.3333333333335,5,5,3,3,0,1,2,3,3,0,-2,-2,-2,-2,0,undefined
889596034,45,5,1293.4888888888888,1207.8,1,2,1,1,1,-1,-1,2,2,1,1,0,1,0,-1,undefined
451221477,50,0,1415.16,NaN,-1,0,0,0,-5,3,0,3,4,-4,2,2,3,3,-5,undefined
677229742,50,0,2197.28,NaN,-2,-5,3,5,5,-5,-5,4,5,5,1,-2,2,4,2,undefined
624179092,50,0,1469.72,NaN,-3,-4,2,2,0,0,-2,-2,-1,3,2,-1,0,1,5,undefined
701549043,50,0,1721.24,NaN,3,-2,1,3,0,-3,-4,2,4,0,-2,-4,2,4,0,undefined
429746035,50,0,1310.76,NaN,-1,-1,2,2,5,1,1,1,1,5,3,3,-2,-1,5,undefined
394416738,50,0,1079.38,NaN,0,-2,1,3,0,3,3,-3,-1,1,2,1,-2,0,0,undefined
831705163,44,6,2296.2272727272725,1427.1666666666667,3,2,-2,-3,5,-2,-1,-3,-4,5,0,0,-2,-3,5,undefined
485887899,49,1,1770.9795918367347,1535,-1,-2,-2,-2,-4,-1,-1,-1,-1,-4,0,0,0,undefined,-4,undefined
522315107,50,0,1864.64,NaN,-4,-5,5,5,-3,0,0,0,0,-3,0,0,0,undefined,-3,undefined
816482489,49,1,1344.142857142857,1324,0,0,0,2,2,-2,-1,0,2,2,5,1,-2,1,1,undefined
243880522,50,0,1678.4,NaN,-3,-3,1,3,-3,2,1,-3,-1,1,-2,-1,-1,1,-3,undefined
580223697,50,0,1535.88,NaN,4,4,-2,-1,4,2,3,0,2,3,3,2,3,3,-2,undefined
523221369,50,0,1421.48,NaN,-1,-3,1,2,-2,-2,-4,2,3,-3,1,-2,-1,-1,-2,undefined
590304432,49,1,1668.2448979591836,9063,-5,-5,2,4,-3,-3,-1,3,5,-2,3,2,1,1,1,undefined
430821944,48,2,2070.5416666666665,939.5,3,4,-3,-4,3,3,3,-4,-4,4,3,3,-3,undefined,4,undefined
193739338,50,0,2139,NaN,-5,-5,4,5,-5,-3,-5,4,5,-5,2,-3,3,4,-3,undefined
672207793,49,1,2374.183673469388,1783,4,-1,2,2,5,4,-1,2,2,5,3,-1,1,1,5,undefined
993555423,50,0,1857.52,NaN,-1,2,1,1,5,1,2,-2,-2,5,0,0,-1,-1,5,undefined
386578964,49,1,2157.530612244898,2563,0,-1,1,1,1,-3,-3,-3,2,1,-1,-1,1,1,1,undefined
853570548,50,0,1705.3,NaN,0,1,2,2,-5,1,1,2,2,-5,-1,-1,2,2,-5,undefined
917173802,50,0,1194.54,NaN,1,3,-1,0,-2,-1,2,0,1,1,2,4,-1,0,1,undefined
923738451,27,23,913.9629629629629,974.5652173913044,3,3,4,3,3,1,3,2,3,3,3,2,3,3,4,3
103422508,50,0,2871.42,NaN,-2,-3,0,1,-5,3,5,0,1,2,-2,-3,0,3,-5,undefined
399266647,49,1,1169.0408163265306,1035,2,1,-2,0,5,-4,-5,2,3,5,1,0,-1,1,5,undefined
240518406,50,0,2608.06,NaN,-2,-5,2,4,-3,2,3,-1,-1,1,-4,-4,3,5,3,undefined
728676429,50,0,1920.1,NaN,3,1,-2,2,0,1,-1,-1,2,3,2,0,-1,2,1,undefined
168544131,48,2,1317.2083333333333,1120.5,undefined,1,1,1,0,0,0,1,1,0,-3,-3,3,3,0,undefined
727791762,50,0,2837.8,NaN,-4,-4,4,4,-4,0,1,1,1,-3,-3,-3,3,3,-4,undefined
349442461,50,0,1310.08,NaN,-3,-5,4,5,-5,-3,-3,3,4,-5,3,3,1,2,-3,undefined
456660305,48,2,1952.1041666666667,2347,-3,-4,3,5,3,2,3,-2,0,3,-1,-2,1,1,3,undefined
880105968,24,26,1238,1250.9615384615386,4,3,-1,-2,1,-3,0,-3,-4,5,-4,-1,-3,-4,-4,undefined
138870154,48,2,1817.375,1169.5,-1,1,-1,1,5,2,-1,-2,-2,5,-2,-4,4,4,5,undefined
886412223,50,0,1091.16,NaN,0,0,2,3,2,3,3,0,1,2,3,4,1,2,2,undefined
804879022,50,0,3063.94,NaN,2,1,2,3,2,2,1,3,2,2,1,2,0,2,1,1
576661650,39,11,1826.3076923076924,798.9090909090909,-1,-3,2,4,5,0,0,1,1,5,-1,-2,1,2,5,undefined
392670676,50,0,1583.76,NaN,2,-2,1,2,1,-1,-3,1,2,1,2,-2,0,2,1,undefined
147872924,42,8,1662.9761904761904,4257.625,0,0,0,-1,-3,0,-1,1,0,0,1,1,1,0,1,undefined
162079699,50,0,1854.78,NaN,3,1,1,2,1,3,1,1,2,3,4,2,1,2,2,undefined
224725821,48,2,1362.1875,3619.5,2,1,-2,0,3,-2,-2,1,1,-2,-2,-3,1,1,-1,undefined
540301917,49,1,1935.591836734694,1104,0,0,0,-1,undefined,0,-1,0,-1,0,-1,1,-1,-1,-1,-2
373884295,50,0,2948.32,NaN,-1,0,3,4,-3,4,5,-1,0,3,2,4,3,4,1,undefined
761941662,46,4,1530.8260869565217,1753.75,0,0,0,2,5,-3,-4,0,3,5,-1,-3,0,3,5,undefined
756638545,50,0,1446.58,NaN,5,3,-2,2,3,-4,-3,2,3,-4,0,-1,0,1,4,undefined
150699780,50,0,2028.02,NaN,-1,-1,1,1,1,-1,undefined,1,2,-3,-2,-3,2,4,-3,undefined
450056835,50,0,1367.92,NaN,-1,-5,5,5,1,-1,-5,5,5,1,2,-5,5,5,1,undefined
783871541,50,0,1600.82,NaN,0,0,0,0,3,-3,-4,-2,-4,2,4,4,-4,-5,3,undefined
707163975,50,0,1169.82,NaN,-2,-2,3,4,4,1,1,1,2,4,2,1,1,2,4,undefined
809945958,49,1,1780.8163265306123,16832,-4,-5,4,4,2,2,2,-2,-1,2,-4,-3,-2,-2,-2,undefined
910585917,50,0,3802.52,NaN,-1,-3,4,4,5,3,3,-3,-3,5,2,3,1,1,5,undefined
181794458,50,0,1503.02,NaN,-2,1,3,3,2,3,0,0,0,2,3,0,0,0,3,undefined
726206488,33,17,1057,499.88235294117646,undefined,1,0,1,2,1,2,1,0,1,0,1,0,2,1,undefined
975990390,50,0,2656.98,NaN,-5,-5,5,5,-5,-3,-5,3,3,-5,-5,-5,5,5,-5,undefined
541103876,50,0,1470.24,NaN,4,4,2,2,1,4,4,2,2,1,4,4,2,2,3,undefined
688849234,50,0,2792.48,NaN,4,3,-2,-1,-3,2,0,0,2,-3,-1,-2,1,3,-3,undefined
968948057,49,1,5176.673469387755,844,5,5,3,3,1,4,4,2,2,2,3,3,4,4,-1,undefined
