490232098,0,29,21,364.0344827586207,358,-1,1,-1,0,0,-1,1,0,-1,-1,0,-1,1,0,1,0,1,-1,1,0,-1,1,-1,1,-1,undefined
612982674,2,33,17,5085.969696969697,1125.9411764705883,1,1,1,1,0,2,2,2,2,0,-1,-1,-1,-1,0,1,1,1,1,0,5,5,5,5,0,0
680174963,2,32,18,6439.5,2845.1666666666665,0,0,0,0,undefined,2,2,2,2,undefined,3,3,3,3,-3,4,4,4,4,undefined,1,1,1,1,undefined,undefined
216478118,2,26,24,1827.8846153846155,1744.625,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
688812097,2,24,26,1940.625,1965.3076923076924,1,1,1,1,-1,2,2,2,2,-2,3,3,3,3,-3,4,4,4,4,-4,-1,-1,-1,-1,1,undefined
669299110,0,27,23,653.1111111111111,722.4347826086956,1,1,1,1,-1,2,2,2,2,-2,3,3,3,3,-3,4,4,4,4,-4,-1,-1,-1,-1,-5,undefined
536457267,1,23,27,810.7391304347826,1185.7037037037037,1,1,1,1,-1,2,2,2,2,-2,3,3,3,3,-3,4,4,4,4,-3,-1,-1,-1,-1,-5,2
174022021,0,50,0,1760.04,NaN,5,-5,4,-4,undefined,0,1,-1,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3,undefined,undefined,undefined,undefined,undefined
170436953,0,50,0,1069.36,NaN,0,3,0,0,-3,0,3,0,0,-3,-1,3,1,3,-3,1,3,0,0,-3,0,3,0,0,-3,undefined
266642917,0,50,0,1418.42,NaN,-2,-4,4,5,2,-4,-5,4,5,3,-3,-5,4,5,4,0,-2,2,4,1,2,-2,3,4,1,undefined
424984673,1,49,1,1527.591836734694,7529,-2,-3,1,3,3,3,3,-4,-3,2,2,2,-2,-1,4,3,3,-3,-2,1,0,0,-1,0,0,undefined
152103618,2,49,1,1792.5510204081634,1959,3,2,-1,-1,-1,-2,-3,1,2,0,-2,-2,1,1,-1,-1,-2,1,2,-1,2,1,0,0,1,undefined
127372192,1,50,0,1756.7,NaN,-3,-3,2,4,-2,1,-2,-1,2,-1,1,-1,-1,1,-1,2,1,-3,-1,2,-2,-4,1,4,-2,undefined
199121541,2,19,31,1834.5263157894738,904.2903225806451,1,undefined,1,1,3,3,3,3,3,3,4,3,3,3,3,3,2,2,3,undefined,3,3,3,3,3,3
742590422,0,50,0,2634.54,NaN,-2,-3,-3,-4,undefined,3,1,3,4,0,1,-1,-2,-3,0,0,-1,-2,-3,-1,0,-2,-2,-3,-1,undefined
501885201,1,50,0,1408.6,NaN,1,1,0,1,1,-3,-3,2,3,1,4,2,0,0,1,-1,-1,1,1,1,0,1,0,1,0,undefined
211415095,2,49,1,1937.3673469387754,4183,1,2,0,1,-1,2,2,0,0,5,4,2,0,0,-1,1,0,0,0,0,3,2,4,4,-3,undefined
382380019,0,47,3,1600.3829787234042,9001,2,3,-2,1,1,3,3,-3,0,2,1,2,-2,1,-1,0,1,-2,1,0,-2,-3,-1,3,-3,undefined
221967922,1,49,1,1912.857142857143,917,-2,-2,1,1,5,1,0,0,0,3,undefined,-2,-2,1,-2,-1,0,0,0,-2,0,0,0,0,-2,undefined
806351212,0,50,0,1825.28,NaN,-3,-5,3,4,1,-3,-5,3,4,1,-3,-5,3,4,1,-3,-4,3,4,1,-5,-5,4,5,-2,undefined
682660203,2,49,1,1203.7755102040817,1093,3,2,1,4,2,3,4,-2,-4,4,4,3,-2,4,5,3,2,2,4,3,3,4,-2,-3,4,undefined
795148151,0,50,0,1839.3,NaN,-2,4,2,3,0,3,5,0,1,2,1,4,1,2,1,3,5,-1,0,3,4,5,-1,0,-2,undefined
913423089,1,49,1,1488.0408163265306,718,-2,-2,-2,3,-3,-1,-2,-2,2,1,-1,-1,-3,1,-1,-1,-1,-3,2,0,-2,-3,-1,3,-3,undefined
377801154,0,47,3,1898.8085106382978,10715.333333333334,-1,-3,3,3,4,-1,-2,3,3,4,2,1,-1,-1,4,undefined,-2,3,3,4,-2,-3,3,2,3,undefined
615242752,1,48,2,1419.6875,876.5,-5,-5,5,5,-3,-4,-4,3,4,-2,-2,-1,1,1,2,1,3,-2,-2,3,-1,-3,1,1,-3,undefined
519602321,0,50,0,2025.64,NaN,-3,-5,3,5,-5,-5,-5,5,5,-5,0,-2,0,3,-5,-5,-5,3,5,-5,-3,-5,3,5,-5,undefined
227248300,0,50,0,1655.22,NaN,-2,-3,2,3,-5,4,3,-3,-2,3,4,4,-1,1,2,5,5,-4,-3,-5,-1,-1,1,2,1,undefined
548559229,0,27,23,939.5555555555555,1560.7826086956522,-2,-2,1,2,0,0,1,1,1,0,-1,-1,1,1,0,-2,-1,1,1,1,-1,0,-1,2,1,undefined
986199551,0,50,0,2070.7,NaN,0,-3,-2,-1,0,3,1,-1,0,1,2,-2,3,3,1,1,-1,1,1,0,3,1,-1,0,-1,undefined
366537591,2,49,1,1593.0204081632653,6895,2,1,0,0,-5,5,5,-2,-1,1,3,4,-1,-1,1,-1,-2,2,3,-5,1,1,0,1,-5,undefined
