144898854,,57,3,1169.4035087719299,1036,-2,-3,-3,-2,1,undefined,3,2,2,2,5,4,4,4,1,2,1,1,0,1,undefined
469767998,,58,2,1897.3275862068965,14524.5,-2,-2,3,2,-3,-2,-1,2,2,-2,-1,-1,1,1,-3,0,-1,2,2,-1,undefined
441018704,,60,0,1399.2833333333333,NaN,-2,-5,2,4,1,0,-2,1,3,1,1,-2,2,2,3,2,-1,1,2,2,undefined
273148866,,59,1,1413.457627118644,1454,1,3,-2,0,3,-4,-3,5,5,-4,3,3,2,2,2,1,1,-2,1,2,undefined
491755595,,59,1,2084.898305084746,4833,1,1,2,2,-5,1,1,1,1,-5,-2,-2,0,0,-5,2,1,1,1,-5,undefined
918382288,,60,0,1961.2166666666667,NaN,4,3,0,0,5,-1,-2,1,3,4,4,5,-2,0,3,-3,-3,2,5,5,undefined
694415120,,53,7,2204.6415094339623,1347.857142857143,4,2,-1,-1,5,-1,-1,4,5,5,5,3,3,2,5,1,1,2,1,4,undefined
176850933,,59,1,1440.864406779661,25546,0,0,0,5,5,2,2,2,5,5,1,1,1,5,5,-2,-5,3,5,5,undefined
476844592,,60,0,1576.5666666666666,NaN,-2,-1,1,2,5,-2,-2,-2,2,5,-1,-1,-2,0,3,-1,-1,0,1,-2,undefined
184533852,,52,8,2705.3846153846152,6353.5,2,0,-1,1,2,-2,-3,2,4,2,-3,-3,3,4,2,-1,-2,2,3,2,undefined
933450334,,60,0,1609.0333333333333,NaN,3,3,2,2,5,2,2,1,1,5,4,4,2,1,5,-2,-1,4,4,5,undefined
472481882,,60,0,1363.5333333333333,NaN,-2,-2,3,4,0,-5,-5,0,0,-5,-4,-4,2,2,-5,0,2,-2,-1,5,undefined
948485842,,60,0,2604.6666666666665,NaN,-3,-4,-1,2,3,-4,-4,-3,3,3,2,1,-2,1,4,3,3,-2,1,3,undefined
760228617,,60,0,1418.7166666666667,NaN,-3,-5,0,0,1,-4,-4,0,0,1,1,1,0,undefined,1,-2,-2,0,0,1,undefined
618418622,,60,0,3706.6666666666665,NaN,-3,-4,4,5,5,0,2,2,3,5,2,3,0,1,5,-4,-3,3,4,5,undefined
944555560,,58,2,2417.344827586207,11787,2,undefined,-1,0,0,-2,-1,1,2,-1,2,2,-1,-1,0,-2,-2,2,3,-1,undefined
379692054,,60,0,1752.9333333333334,NaN,-2,0,1,2,5,-1,1,0,1,5,0,3,-1,0,5,-2,0,1,2,5,undefined
413447083,,55,5,1735.7454545454545,2715,2,2,-2,-1,1,-3,-3,2,3,-2,2,3,0,-1,2,-3,-3,1,2,0,undefined
679457714,,60,0,1565.7166666666667,NaN,-3,-3,3,4,-2,-3,-3,3,4,4,-4,-4,3,4,-2,-5,-5,-4,-5,-3,undefined
817652786,,59,1,1182.457627118644,1271,2,3,-2,0,-3,0,1,-2,0,-3,-1,-1,-1,1,-3,-1,1,-1,1,-4,undefined
539323154,,60,0,1429.3333333333333,NaN,2,2,0,1,3,1,2,1,1,-5,2,2,0,0,-5,3,2,0,0,-5,undefined
258324439,,59,1,1800.7627118644068,881,1,2,-3,-2,5,-4,-3,3,4,5,-2,-4,1,-3,5,0,1,-2,1,5,undefined
341737351,,60,0,1372.2,NaN,-2,-2,-1,1,-4,-3,-3,-1,1,-3,-1,-2,-1,1,-3,-3,-4,2,4,-3,undefined
533371387,,58,2,1765.7931034482758,1542,-2,-1,0,4,3,2,3,-3,2,3,0,1,-2,3,3,-1,1,-1,3,3,undefined
722468941,,57,3,1379.2105263157894,1221.3333333333333,3,3,1,1,-3,1,3,1,1,-3,-1,2,3,3,-3,2,2,1,1,-3,undefined
325677674,,60,0,2568.0333333333333,NaN,1,0,-4,-2,5,-1,-1,-2,-2,5,-5,-5,1,5,5,-3,-4,-2,3,5,undefined
567352108,,60,0,1634.4333333333334,NaN,1,0,0,0,2,-2,-3,0,0,2,3,0,0,0,2,-1,-3,0,0,2,undefined
621539405,,60,0,1639.5666666666666,NaN,1,-1,1,3,5,4,4,0,2,5,4,4,-3,-1,5,0,0,1,3,3,undefined
410542097,,59,1,1484.7457627118645,9937,-4,-4,3,3,1,-2,-2,3,3,1,-3,-3,3,3,1,-3,-3,3,3,1,undefined
467777811,,60,0,1788.55,NaN,-2,-4,2,4,5,3,3,-2,-2,5,-5,-5,2,4,5,0,-3,2,4,5,undefined
319350191,,57,3,1290.5263157894738,714.6666666666666,-3,-3,3,3,-2,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,undefined
833716279,,60,0,2284.9166666666665,NaN,-1,1,1,1,3,-3,1,2,2,3,2,1,3,3,1,2,2,3,3,3,undefined
908091836,,58,2,1388,607.5,3,5,1,undefined,5,-4,0,4,5,5,2,3,2,2,5,-4,2,3,3,5,undefined
717448067,,58,2,2208.3275862068967,1991.5,-3,-2,2,2,-3,2,0,-1,-1,-3,-1,-3,2,2,-1,0,-1,1,1,-3,undefined
592083005,,60,0,2210.45,NaN,-3,-5,2,2,3,2,-3,0,2,4,-2,-4,-1,2,2,-1,-3,0,2,3,undefined
522806719,,60,0,2018.8166666666666,NaN,5,undefined,-2,-1,4,undefined,0,0,0,4,5,3,0,0,4,3,-1,-1,-1,4,undefined
182765373,,58,2,1120.6724137931035,683.5,1,1,1,1,4,0,0,0,0,-2,-2,-2,0,1,undefined,-1,0,0,1,1,undefined
185146679,,60,0,2442.9,NaN,4,0,-1,-1,5,-1,-2,2,2,-3,2,-1,1,1,5,1,-2,-2,-2,5,undefined
117197267,,60,0,1373.45,NaN,-5,-5,3,5,-5,-3,-3,2,4,-3,2,-1,0,2,-3,-2,-2,1,4,-4,undefined
267452886,,60,0,1827.7666666666667,NaN,3,0,0,0,5,0,0,0,0,3,-1,-2,3,3,3,2,0,1,2,5,undefined
186499270,,59,1,1245.0677966101696,7927,-5,-5,-4,4,-1,1,2,-2,-2,2,-4,-3,2,2,-4,2,-2,1,3,1,undefined
